ID_register	ID_sp	Group	order	family	genus	binomial	body_mass	body_length	tail_length	forearm	age	sex	reproductive_stage	status	longitude	latitude	year	collector_name
9021	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9022	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9023	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	20	NA	NA	43.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9024	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9025	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	39.5	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9026	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9027	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9028	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	39.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9029	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9030	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9031	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	38	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9032	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9033	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9034	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9035	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9036	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	38.5	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9037	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9038	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9039	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	13	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9040	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9041	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9042	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9043	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9044	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	42	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9045	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9046	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	38	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9047	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9048	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9049	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9050	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40.5	adult	male	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9051	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	42.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9052	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9053	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	43	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
