ID_register	ID_sp	Group	order	family	genus	binomial	body_mass	body_length	tail_length	forearm	age	sex	reproductive_stage	status	longitude	latitude	year	collector_name
9051	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	42.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9052	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9053	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	43	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9054	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	14	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9057	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	40.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9059	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9060	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	42.5	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9062	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	20	NA	NA	NA	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9064	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	42	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9066	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	41	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9067	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	18	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9069	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	12	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9071	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	15	NA	NA	40	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9073	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	16	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
9075	26	Bats	Chiroptera	Phyllostomidae	Carollia	Carollia perspicillata	17	NA	NA	39	adult	female	NA	alive	-42.261961	-22.583797	1997	Marco Mello
