"long","lat","year"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"1999"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.570575,-22.733056,"2000"
-42.488922,-22.328944,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1998"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"1999"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2000"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"2001"
-42.261961,-22.583797,"1997"
-42.261961,-22.583797,"1997"
