	a1940	a1941	a1961	a1963	a1970	a1971	a1973	a1974	a1975	a1977	a1978	a1983	a1984	a1989	a1991	a1992	a1993	a1995	a1997	a1998	a1999	a2000	a2001	a2002	a2003	a2004	a2005	a2006	a2007	a2008	a2009	a2010	a2011	a2012	a2013	a2014	a2015	a2016	a2017
Myorip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	5	0	10	19	5	7	30	0	4	0
Myorub	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	13	0	0	0	1	0	9	4	0	0	0
Myosp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	2	4	2	0
Nocalb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0
Noclep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	12	7	0	0	1	2	0	3	0	1	0	0	0	0	1	1	3	0
Nyclat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Perkap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Perleu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Permac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0
Physte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Phydis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	28	27	0	0	0	0	0	0	43	57	4	3	0	39	192	20	19	22	2	0
Phyelo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Phyhas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	2	3	18	0	0	0	0	7	3	0	0	0	5	13	3	2	2	5	6
Plainc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3
Plalin	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	16	11	15	8	1	0	4	6	17	113	4	1	0	4	54	53	43	53	129	69
Plarec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	7	0	0	0	0	0	0	2	5	0	0	0	2	7	13	41	2	4	0
Pronas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ptegym	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	1	0	0	0
Pteper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0
Pygbil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	12	6	0	1	3	4	0	0	0	1	1	0	3	10	8	1	2	0
Rhipum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	222	296	53	0	0	0	0	0	1	0	0	0	0	4	0	2	1	3	2	0
Rhynas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	2	5	0	0
Sacbil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Saclep	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0
Stulil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	67	259	348	152	119	147	165	40	109	135	76	73	50	61	213	365	136	146	338	134
Stutil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2	31	10	13	0	3	0	0	30	9	0	0	6	25	37	58	0	1	0
Thysp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thytri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thywyn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tonbid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	30	0	0	0	0	0	0	0	0	0	0
Tonsau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0
Tracir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0	4	25	1	0	0	6	1	3	13	13	10	1
Trinic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urobil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uromag	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Vampus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	3	3	1	0	1	0	0	4	2	0	0	1	5	5	16	2	1	0
Vamcar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
